timestamp,topic,message
2025-11-05 22:53:12,finance_ticker,NIFTY up 1%
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,tech_updates,AI model released
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
2025-11-05 22:53:12,sports_news,Match ended 2-1.
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,finance_ticker,NIFTY up 1%
2025-11-05 22:53:12,tech_updates,AI model released
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,weather_report,Sunny in Mumbai
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
2025-11-05 22:53:12,sports_news,Match ended 2-1.
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
2025-11-05 22:53:12,weather_report,Rain in Bangalore
2025-11-05 22:53:12,tech_updates,AI model released
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,finance_ticker,NIFTY up 1%
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,weather_report,Rain in Bangalore
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
2025-11-05 22:53:12,weather_report,Rain in Bangalore
2025-11-05 22:53:12,sports_news,Match ended 2-1.
2025-11-05 22:53:12,weather_report,Rain in Bangalore
2025-11-05 22:53:12,tech_updates,AI model released
2025-11-05 22:53:12,weather_report,Rain in Bangalore
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,tech_updates,Python 3.14 out!
2025-11-05 22:53:12,sports_news,Match ended 2-1.
2025-11-05 22:53:12,sports_news,Goal scored!
2025-11-05 22:53:12,tech_updates,AI model released
2025-11-05 22:53:12,finance_ticker,Sensex down 200 pts
